Algorithm,Allocation,Processes,MessageSize,Latency
chain,core,2,1,0.23
chain,core,2,2,0.23
chain,core,2,4,0.24
chain,core,2,8,0.23
chain,core,2,16,0.23
chain,core,2,32,0.28
chain,core,2,64,0.29
chain,core,2,128,0.36
chain,core,2,256,0.38
chain,core,2,512,0.42
chain,core,2,1024,0.50
chain,core,2,2048,0.63
chain,core,2,4096,0.97
chain,core,2,8192,1.57
chain,core,2,16384,3.24
chain,core,2,32768,5.40
chain,core,2,65536,6.90
chain,core,2,131072,9.88
chain,core,2,262144,15.71
chain,core,2,524288,29.00
chain,core,2,1048576,59.38
chain,core,3,1,0.41
chain,core,3,2,0.40
chain,core,3,4,0.40
chain,core,3,8,0.41
chain,core,3,16,0.40
chain,core,3,32,0.44
chain,core,3,64,0.43
chain,core,3,128,0.55
chain,core,3,256,0.58
chain,core,3,512,0.61
chain,core,3,1024,0.77
chain,core,3,2048,0.98
chain,core,3,4096,1.47
chain,core,3,8192,2.18
chain,core,3,16384,4.44
chain,core,3,32768,7.26
chain,core,3,65536,10.91
chain,core,3,131072,18.13
chain,core,3,262144,32.06
chain,core,3,524288,57.30
chain,core,3,1048576,116.92
chain,core,4,1,0.30
chain,core,4,2,0.29
chain,core,4,4,0.29
chain,core,4,8,0.29
chain,core,4,16,0.28
chain,core,4,32,0.48
chain,core,4,64,0.36
chain,core,4,128,0.58
chain,core,4,256,0.63
chain,core,4,512,0.69
chain,core,4,1024,0.93
chain,core,4,2048,1.26
chain,core,4,4096,1.95
chain,core,4,8192,2.78
chain,core,4,16384,5.50
chain,core,4,32768,8.65
chain,core,4,65536,13.63
chain,core,4,131072,24.94
chain,core,4,262144,48.86
chain,core,4,524288,98.15
chain,core,4,1048576,205.65
chain,core,5,1,0.29
chain,core,5,2,0.29
chain,core,5,4,0.29
chain,core,5,8,0.28
chain,core,5,16,0.29
chain,core,5,32,0.38
chain,core,5,64,0.38
chain,core,5,128,0.57
chain,core,5,256,0.62
chain,core,5,512,0.68
chain,core,5,1024,0.92
chain,core,5,2048,1.33
chain,core,5,4096,2.08
chain,core,5,8192,3.15
chain,core,5,16384,6.05
chain,core,5,32768,10.05
chain,core,5,65536,19.65
chain,core,5,131072,37.74
chain,core,5,262144,72.82
chain,core,5,524288,145.40
chain,core,5,1048576,286.13
chain,core,6,1,0.36
chain,core,6,2,0.37
chain,core,6,4,0.36
chain,core,6,8,0.36
chain,core,6,16,0.36
chain,core,6,32,0.44
chain,core,6,64,0.45
chain,core,6,128,0.68
chain,core,6,256,0.73
chain,core,6,512,0.90
chain,core,6,1024,1.07
chain,core,6,2048,1.46
chain,core,6,4096,2.26
chain,core,6,8192,3.47
chain,core,6,16384,7.38
chain,core,6,32768,11.72
chain,core,6,65536,21.97
chain,core,6,131072,42.15
chain,core,6,262144,83.24
chain,core,6,524288,159.89
chain,core,6,1048576,323.65
chain,core,7,1,0.43
chain,core,7,2,0.44
chain,core,7,4,0.44
chain,core,7,8,0.44
chain,core,7,16,0.44
chain,core,7,32,0.54
chain,core,7,64,0.54
chain,core,7,128,0.77
chain,core,7,256,0.83
chain,core,7,512,0.89
chain,core,7,1024,1.20
chain,core,7,2048,1.62
chain,core,7,4096,2.47
chain,core,7,8192,3.85
chain,core,7,16384,8.72
chain,core,7,32768,13.92
chain,core,7,65536,25.10
chain,core,7,131072,47.04
chain,core,7,262144,91.20
chain,core,7,524288,179.64
chain,core,7,1048576,344.80
chain,core,8,1,0.66
chain,core,8,2,0.66
chain,core,8,4,0.68
chain,core,8,8,0.64
chain,core,8,16,0.64
chain,core,8,32,0.78
chain,core,8,64,0.78
chain,core,8,128,1.13
chain,core,8,256,1.13
chain,core,8,512,1.19
chain,core,8,1024,1.46
chain,core,8,2048,1.97
chain,core,8,4096,2.84
chain,core,8,8192,4.41
chain,core,8,16384,9.43
chain,core,8,32768,15.66
chain,core,8,65536,27.76
chain,core,8,131072,51.35
chain,core,8,262144,99.56
chain,core,8,524288,191.68
chain,core,8,1048576,354.27
chain,core,9,1,0.97
chain,core,9,2,0.98
chain,core,9,4,0.99
chain,core,9,8,0.98
chain,core,9,16,0.98
chain,core,9,32,1.06
chain,core,9,64,1.06
chain,core,9,128,1.39
chain,core,9,256,1.42
chain,core,9,512,1.49
chain,core,9,1024,1.83
chain,core,9,2048,2.33
chain,core,9,4096,3.27
chain,core,9,8192,4.87
chain,core,9,16384,10.72
chain,core,9,32768,17.10
chain,core,9,65536,30.03
chain,core,9,131072,54.77
chain,core,9,262144,106.95
chain,core,9,524288,201.34
chain,core,9,1048576,392.97
chain,core,10,1,0.94
chain,core,10,2,0.95
chain,core,10,4,0.93
chain,core,10,8,0.93
