Algorithm,Allocation,Processes,MessageSize,Latency
default,core,2,1,0.22
default,core,2,2,0.22
default,core,2,4,0.22
default,core,2,8,0.22
default,core,2,16,0.22
default,core,2,32,0.26
default,core,2,64,0.25
default,core,2,128,0.34
default,core,2,256,0.35
default,core,2,512,0.54
default,core,2,1024,0.44
default,core,2,2048,0.56
default,core,2,4096,0.87
default,core,2,8192,1.38
default,core,2,16384,3.23
default,core,2,32768,5.37
default,core,2,65536,6.90
default,core,2,131072,10.05
default,core,2,262144,15.92
default,core,2,524288,32.32
default,core,2,1048576,68.02
default,core,3,1,0.48
default,core,3,2,0.48
default,core,3,4,0.48
default,core,3,8,0.48
default,core,3,16,0.47
default,core,3,32,0.40
default,core,3,64,0.40
default,core,3,128,0.53
default,core,3,256,0.67
default,core,3,512,0.60
default,core,3,1024,0.74
default,core,3,2048,0.94
default,core,3,4096,1.45
default,core,3,8192,2.20
default,core,3,16384,4.76
default,core,3,32768,7.99
default,core,3,65536,11.66
default,core,3,131072,25.63
default,core,3,262144,34.20
default,core,3,524288,67.64
default,core,3,1048576,134.32
default,core,4,1,0.36
default,core,4,2,0.35
default,core,4,4,0.35
default,core,4,8,0.34
default,core,4,16,0.34
default,core,4,32,0.40
default,core,4,64,0.39
default,core,4,128,0.56
default,core,4,256,0.59
default,core,4,512,0.64
default,core,4,1024,0.85
default,core,4,2048,1.15
default,core,4,4096,1.75
default,core,4,8192,2.62
default,core,4,16384,5.55
default,core,4,32768,8.97
default,core,4,65536,14.85
default,core,4,131072,27.11
default,core,4,262144,53.42
default,core,4,524288,102.90
default,core,4,1048576,241.70
default,core,5,1,0.43
default,core,5,2,0.46
default,core,5,4,0.43
default,core,5,8,0.44
default,core,5,16,0.43
default,core,5,32,0.51
default,core,5,64,0.40
default,core,5,128,0.69
default,core,5,256,0.74
default,core,5,512,0.80
default,core,5,1024,1.06
default,core,5,2048,1.27
default,core,5,4096,1.99
default,core,5,8192,3.25
default,core,5,16384,6.29
default,core,5,32768,10.80
default,core,5,65536,20.02
default,core,5,131072,38.03
default,core,5,262144,75.37
default,core,5,524288,150.14
default,core,5,1048576,352.05
default,core,6,1,0.51
default,core,6,2,0.52
default,core,6,4,0.51
default,core,6,8,0.51
default,core,6,16,0.51
default,core,6,32,0.61
default,core,6,64,0.54
default,core,6,128,0.85
default,core,6,256,0.86
default,core,6,512,0.93
default,core,6,1024,1.23
default,core,6,2048,1.60
default,core,6,4096,2.40
default,core,6,8192,3.64
default,core,6,16384,6.75
default,core,6,32768,11.48
default,core,6,65536,22.14
default,core,6,131072,43.59
default,core,6,262144,86.43
default,core,6,524288,176.02
default,core,6,1048576,435.80
default,core,7,1,0.57
default,core,7,2,0.58
default,core,7,4,0.59
default,core,7,8,0.57
default,core,7,16,0.58
default,core,7,32,0.69
default,core,7,64,0.63
default,core,7,128,1.00
default,core,7,256,1.03
default,core,7,512,1.11
default,core,7,1024,1.40
default,core,7,2048,1.78
default,core,7,4096,2.62
default,core,7,8192,4.14
default,core,7,16384,7.66
default,core,7,32768,13.08
default,core,7,65536,25.47
default,core,7,131072,50.33
default,core,7,262144,101.62
default,core,7,524288,206.09
default,core,7,1048576,559.67
