Algorithm,Allocation,Processes,MessageSize,Latency
default,core,2,1,0.21
default,core,2,2,0.22
default,core,2,4,0.22
default,core,2,8,0.22
default,core,2,16,0.22
default,core,2,32,0.27
default,core,2,64,0.27
default,core,2,128,0.32
default,core,2,256,0.33
default,core,2,512,0.37
default,core,2,1024,0.42
default,core,2,2048,0.53
default,core,2,4096,0.83
default,core,2,8192,1.32
default,core,2,16384,3.10
default,core,2,32768,5.30
default,core,2,65536,6.93
default,core,2,131072,10.10
default,core,2,262144,16.31
default,core,2,524288,30.19
default,core,2,1048576,62.90
default,core,3,1,0.49
default,core,3,2,0.47
default,core,3,4,0.49
default,core,3,8,0.48
default,core,3,16,0.49
default,core,3,32,0.41
default,core,3,64,0.42
default,core,3,128,0.52
default,core,3,256,0.69
default,core,3,512,0.59
default,core,3,1024,0.75
default,core,3,2048,0.93
default,core,3,4096,1.41
default,core,3,8192,2.13
default,core,3,16384,4.72
default,core,3,32768,7.98
default,core,3,65536,11.85
default,core,3,131072,26.15
default,core,3,262144,32.47
default,core,3,524288,63.54
default,core,3,1048576,127.22
default,core,4,1,0.38
default,core,4,2,0.38
default,core,4,4,0.38
default,core,4,8,0.38
default,core,4,16,0.37
default,core,4,32,0.45
default,core,4,64,0.42
default,core,4,128,0.60
default,core,4,256,0.64
default,core,4,512,0.67
default,core,4,1024,0.87
default,core,4,2048,1.16
default,core,4,4096,1.75
default,core,4,8192,2.53
default,core,4,16384,5.88
default,core,4,32768,9.24
default,core,4,65536,15.59
default,core,4,131072,28.38
default,core,4,262144,54.51
default,core,4,524288,103.26
default,core,4,1048576,242.88
default,core,5,1,0.40
default,core,5,2,0.40
default,core,5,4,0.43
default,core,5,8,0.40
default,core,5,16,0.39
default,core,5,32,0.49
default,core,5,64,0.39
default,core,5,128,0.67
default,core,5,256,0.71
default,core,5,512,0.78
default,core,5,1024,1.02
default,core,5,2048,1.25
default,core,5,4096,1.93
default,core,5,8192,3.04
default,core,5,16384,6.23
default,core,5,32768,10.74
default,core,5,65536,19.92
default,core,5,131072,38.02
default,core,5,262144,73.95
default,core,5,524288,144.98
default,core,5,1048576,356.25
default,core,6,1,0.49
default,core,6,2,0.49
default,core,6,4,0.49
default,core,6,8,0.49
default,core,6,16,0.49
default,core,6,32,0.59
default,core,6,64,0.53
default,core,6,128,0.84
default,core,6,256,0.86
default,core,6,512,0.92
default,core,6,1024,1.18
default,core,6,2048,1.59
default,core,6,4096,2.36
default,core,6,8192,3.54
default,core,6,16384,6.98
default,core,6,32768,11.84
default,core,6,65536,22.90
default,core,6,131072,44.43
default,core,6,262144,87.61
default,core,6,524288,171.80
default,core,6,1048576,427.73
default,core,7,1,0.68
default,core,7,2,0.64
default,core,7,4,0.66
default,core,7,8,0.64
default,core,7,16,0.65
default,core,7,32,0.73
default,core,7,64,0.64
default,core,7,128,1.00
default,core,7,256,1.02
default,core,7,512,1.08
default,core,7,1024,1.37
default,core,7,2048,1.73
default,core,7,4096,2.59
default,core,7,8192,4.00
default,core,7,16384,7.91
default,core,7,32768,13.68
default,core,7,65536,26.49
default,core,7,131072,51.60
default,core,7,262144,103.66
default,core,7,524288,200.54
default,core,7,1048576,500.68
default,core,8,1,0.60
default,core,8,2,0.60
default,core,8,4,0.60
default,core,8,8,0.71
default,core,8,16,0.72
default,core,8,32,0.85
default,core,8,64,0.72
default,core,8,128,1.13
default,core,8,256,1.17
default,core,8,512,1.22
default,core,8,1024,1.50
default,core,8,2048,2.03
default,core,8,4096,3.03
default,core,8,8192,4.57
default,core,8,16384,10.74
default,core,8,32768,15.19
default,core,8,65536,29.55
default,core,8,131072,57.70
default,core,8,262144,115.60
default,core,8,524288,229.95
default,core,8,1048576,394.33
default,core,9,1,0.92
default,core,9,2,0.90
default,core,9,4,0.92
default,core,9,8,0.89
default,core,9,16,0.90
default,core,9,32,1.04
default,core,9,64,1.05
default,core,9,128,1.44
default,core,9,256,1.47
default,core,9,512,1.58
default,core,9,1024,1.90
default,core,9,2048,2.38
default,core,9,4096,3.26
default,core,9,8192,4.87
default,core,9,16384,11.11
default,core,9,32768,16.88
default,core,9,65536,32.56
default,core,9,131072,63.88
default,core,9,262144,125.85
default,core,9,524288,252.75
default,core,9,1048576,488.04
default,core,10,1,0.83
default,core,10,2,0.83
default,core,10,4,0.84
default,core,10,8,0.95
default,core,10,16,0.97
default,core,10,32,1.12
default,core,10,64,0.91
default,core,10,128,1.37
default,core,10,256,1.41
default,core,10,512,1.45
default,core,10,1024,1.77
default,core,10,2048,2.30
default,core,10,4096,3.48
default,core,10,8192,5.23
default,core,10,16384,11.63
default,core,10,32768,18.56
default,core,10,65536,36.25
default,core,10,131072,71.15
default,core,10,262144,138.40
default,core,10,524288,279.89
default,core,10,1048576,548.57
default,core,11,1,0.81
default,core,11,2,0.77
default,core,11,4,0.74
default,core,11,8,0.98
default,core,11,16,0.97
default,core,11,32,1.12
default,core,11,64,0.77
default,core,11,128,1.22
default,core,11,256,1.27
default,core,11,512,1.32
default,core,11,1024,1.65
default,core,11,2048,2.23
default,core,11,4096,3.73
default,core,11,8192,5.58
default,core,11,16384,11.91
default,core,11,32768,20.00
default,core,11,65536,39.42
default,core,11,131072,78.05
default,core,11,262144,152.11
default,core,11,524288,310.52
default,core,11,1048576,589.52
default,core,12,1,0.73
default,core,12,2,0.77
default,core,12,4,0.77
default,core,12,8,0.96
default,core,12,16,0.96
default,core,12,32,1.12
default,core,12,64,0.85
default,core,12,128,1.31
default,core,12,256,1.36
default,core,12,512,1.42
default,core,12,1024,1.80
default,core,12,2048,2.40
default,core,12,4096,3.75
default,core,12,8192,5.70
default,core,12,16384,12.62
default,core,12,32768,21.63
default,core,12,65536,42.83
default,core,12,131072,84.97
default,core,12,262144,166.36
default,core,12,524288,294.21
default,core,12,1048576,603.20
default,core,13,1,0.83
default,core,13,2,0.85
default,core,13,4,0.84
default,core,13,8,1.05
default,core,13,16,1.00
default,core,13,32,1.21
default,core,13,64,0.97
default,core,13,128,1.58
default,core,13,256,1.59
default,core,13,512,1.60
default,core,13,1024,2.08
default,core,13,2048,2.83
default,core,13,4096,4.00
